stopwords
ffaan
aanee
abba
abbaan
achi
achii
achiittis
achitti
adda
addaa
addaan
addatti
afran
afur
afuriif
afuriin
afuritti
agaarsiise
agarsiiftan
agarsiifte
agarsiisa
agarsiisaan
agarsiisan
agarsiisoo
agarsiiste
agarsiisuudhaan
agarsiisuun
akam
akka
akkaa
akkaataa
akkaataadhaan
akkaataan
akkam
akkan
akkanaa
akkanaaf
akkanaafis
akkanaan
akkas
akkasiif
akkasuma
akkasumas
akkasumatti
akkasumattin
akkasumattis
akkuma
ala
alaa
alatti
alla
aman
amma
ammaa
ammaaf
ammaan
ammas
ammatti
ammayyaa
ammoo
amnaan
amu
an
ana
anaa
anaaf
anaafi
anaan
anarrati
anatti
ani
anii
anillee
arfaffaa
argama
argaman
argamaniif
argamanitti
argamaniyyuu
argame
argamne
argamti
argamu
argamutti
argan
arganne
argatan
argatanii
argate
argatte
arge
argitan
argite
armaa
armaan
armaan 
arra
as
asiin
asiitii
asirratti
asitti
asittin
ati
atii
atti
baanaan
baatii
baaya
baay'ee
baay'eetti
babalisuuf
baga
baha
bahaan
bahaan 
bahatti
bahe
bahu
bakka
bakkan
bakkee
balleese
baname
banan
bane
banneet
bante
bar
bara
baraaf
baraan
barbaachisa
barbaachisaa
barbaachisan
barbaachise
barbaachisoo
bar-kume
barkumee
baruuf
ba'u
beekama
beekaman
beekamti
beekamtii
beekamu
beekamuuf
beeksifte
beeksisaan
beeksisan
beeksise
biiliyoona
bira
biraa
biraaf
biraan
biraatiif
biraatiin
biraatti
biratti
biro
biroo
biroof
biroos
birootiin
birootti
biyya
biyyaa
biyyaaleessaa
bobbaasanii
booda
boodas
boodatii
boodatti
boodattin
boodattis
booddee
bor
boru
borutti
boruu
bukkee
bukkeedhaan
bukkeen
bukkeetti
bukkkee
buuraa
caala
cabsu
cinaa
cinaaf
cinaan
cinaanis
cinaatti
cinaattis
cufa
cufaan
cufaanis
cufti
cuftuu
dabalataan
dabalatee
dabalatees
dabaluu
dafee
dafeetu
danda'aman
danda'ame
danda'amnaan
danda'amu
danda'an
dandahullee
danda'u
danda'uun
dandeenya
dandeessi
danuu
danuuf
danuun
darbee
darbes
deebiâ
deebi'e
deema
deemee
dha
dhaa
dhaabuu
dhaaf
dhaan
dhabaa
dhaquurra
dheeraa
dheertuu
dhibba
dhiheenya
dhokatte
dhufa
dhufan
dhufe
dhufeenya
dhufetti
dhufu
dimshaashumatti
dudduuba
dugda
dukaa
dur
dura
duraan
duraanin
duraanis
duras
duratti
durattis
durduuba
durduuban
duris
dursa
durseen
durseet
dursiteet
duruma
durumaa
durumaan
duruu
duuba
duubaa
duubaan
duubee
duubes
duukaa
eega
eegaa
eegalame
eegalamee
eegale
eegalee
eegalle
eegan
eegana
eeganii
eegasii
eegganna
eeggatan
eeggatanii
eeggatu
eegsisaa
eeguudhaan
eeguuf
eeguun
eenyullee
eenyumtuu
eenyuyyuu
eessa
ennaa
erga
ergasii
erge
fa'aadha
faadha
faallaa
fagaatee
fageenya
fageenyaan
fageenyatti
fagoo
fakkaatan
fedhan
fedhe
ffaa
fi
fkn
fudhataman
fudhatame
fudhatamte
fudhatan
fudhatanii
fudhate
fudhatee
fudhatte
fudhattee
fullee
fuullee
gaafanne
gaafataman
gaafatamte
gaafatan
gaafate
gaafatte
gaarii
gad
gadaanaa
gadi
gadii
gadiin
gadiitiif
gadiitiin
gadiitti
gaditti
gaggeessufi
gahaa
gahaan
gajjallaa
gala
galaan
galatti
galee
